aniso_fs	aniso_fsc	dldir_fs	dliso_fs	dlsyn_fs	iso_fs	iso_fsc	res_fs	res_fsc	synth_fs
1431165.000000	1306880.000000	1102488.000000	1101840.000000	1106854.000000	1394482.000000	1279209.000000	1428401.000000	1311842.000000	1460670.000000
1395326.000000	1346931.000000	1078992.000000	1087653.000000	1119142.000000	1410024.000000	1286104.000000	1400265.000000	1346523.000000	1494809.000000
1694244.000000	1595873.000000	1312114.000000	1369555.000000	1321696.000000	1743232.000000	1593338.000000	1684119.000000	1596962.000000	1743515.000000
1273694.000000	1171669.000000	988114.000000	1046163.000000	989576.000000	1326163.000000	1183249.000000	1279445.000000	1177467.000000	1318010.000000
1543989.000000	1438287.000000	1188049.000000	1206900.000000	1183980.000000	1544491.000000	1426249.000000	1545402.000000	1439143.000000	1585907.000000
1376158.000000	1283364.000000	976986.000000	1018158.000000	1038597.000000	1389631.000000	1259656.000000	1370713.000000	1280316.000000	1428355.000000
1447101.000000	1351521.000000	1111380.000000	1137486.000000	1134854.000000	1455409.000000	1332350.000000	1448282.000000	1351762.000000	1501598.000000
1442468.000000	1357438.000000	1074795.000000	1122520.000000	1119660.000000	1446709.000000	1335535.000000	1451160.000000	1357674.000000	1513249.000000
1453830.000000	1347846.000000	1098180.000000	1122510.000000	1121585.000000	1471826.000000	1343991.000000	1453154.000000	1351387.000000	1510996.000000
1418732.000000	1352854.000000	994033.000000	1060582.000000	1091947.000000	1430058.000000	1322612.000000	1423173.000000	1351693.000000	1495940.000000
1425202.000000	1360553.000000	915339.000000	950006.000000	1086037.000000	1418474.000000	1305244.000000	1419777.000000	1360229.000000	1515067.000000
1387708.000000	1291469.000000	1032282.000000	1076292.000000	1061503.000000	1395672.000000	1283520.000000	1390326.000000	1295338.000000	1442246.000000
1854624.000000	1720696.000000	1377259.000000	1340205.000000	1430398.000000	1775890.000000	1640240.000000	1861986.000000	1721901.000000	1902865.000000
1313058.000000	1257813.000000	1017930.000000	1094892.000000	1058705.000000	1376691.000000	1258796.000000	1312054.000000	1258793.000000	1385571.000000
1476044.000000	1397587.000000	1165240.000000	1213761.000000	1169732.000000	1508706.000000	1396186.000000	1474320.000000	1398571.000000	1555545.000000
1451023.000000	1368551.000000	1013755.000000	1065568.000000	1107998.000000	1472893.000000	1341070.000000	1455398.000000	1369720.000000	1532962.000000
1324461.000000	1234570.000000	1021013.000000	1057037.000000	1039822.000000	1352059.000000	1232909.000000	1326925.000000	1240060.000000	1380591.000000
1770373.000000	1697747.000000	1336757.000000	1411065.000000	1417424.000000	1802619.000000	1679219.000000	1769933.000000	1703162.000000	1871719.000000
1550492.000000	1494303.000000	1168180.000000	1265495.000000	1252867.000000	1607267.000000	1481526.000000	1549244.000000	1489509.000000	1672467.000000
1425550.000000	1381092.000000	1087778.000000	1240443.000000	1139874.000000	1589554.000000	1482835.000000	1440914.000000	1440514.000000	1510205.000000
1429401.000000	1326682.000000	1086556.000000	1127322.000000	1109742.000000	1425256.000000	1311394.000000	1420854.000000	1329593.000000	1471789.000000
1420294.000000	1335953.000000	1122492.000000	1120174.000000	1134173.000000	1438767.000000	1325382.000000	1424615.000000	1343348.000000	1477303.000000
1446776.000000	1350431.000000	1107657.000000	1151911.000000	1125858.000000	1458035.000000	1333363.000000	1453985.000000	1351820.000000	1496918.000000
1532766.000000	1461592.000000	1163497.000000	1221297.000000	1220982.000000	1579143.000000	1467138.000000	1537516.000000	1459958.000000	1625013.000000
1406973.000000	1281475.000000	1009657.000000	1063763.000000	1039473.000000	1402528.000000	1292057.000000	1412974.000000	1281499.000000	1425971.000000
1269533.000000	1200812.000000	895891.000000	957524.000000	950702.000000	1308175.000000	1192053.000000	1268651.000000	1197408.000000	1338751.000000
1645889.000000	1555397.000000	1329945.000000	1355094.000000	1315187.000000	1642563.000000	1533453.000000	1634672.000000	1560133.000000	1711841.000000
1549175.000000	1466059.000000	1157239.000000	1179114.000000	1191135.000000	1536601.000000	1420845.000000	1560532.000000	1462854.000000	1621287.000000
1502399.000000	1408426.000000	1117663.000000	1213920.000000	1182578.000000	1559501.000000	1432022.000000	1496830.000000	1421133.000000	1595483.000000
1287970.000000	1214859.000000	925668.000000	998676.000000	990822.000000	1302853.000000	1201779.000000	1280044.000000	1216280.000000	1360145.000000
1281686.000000	1219244.000000	912735.000000	961986.000000	986307.000000	1303961.000000	1195638.000000	1272063.000000	1218492.000000	1355900.000000
